"current_path","current_url","current_title","current_type","source_variants","old_static_status","old_static_path","future_applicant_structure","proposed_new_path","migration_status","note","url_decision","future_url_policy"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","Практическая работа №8","документ","canonical;pdf-query","found","old/new-stack/site/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8.html","","/обучение/кип/практические-работы/практическая-работа-8","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","09.02.01 Компьютерные системы и комплексы","статья","canonical;pdf-query;index.php","found","old/new-stack/site/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy.html","specialty","/абитуриент/специальности/компьютерные-системы-и-комплексы","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","Практическая работа №5","документ","canonical;pdf-query","found","old/new-stack/site/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5.html","","/обучение/кип/практические-работы/практическая-работа-5","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","15.01.31 Мастер контрольно-измерительных приборов и автоматики","статья","pdf-query;index.php;canonical","not found","","excluded: intake closed","","exclude","Recruitment for this profession no longer runs; do not create a future page. Check backlinks and use 410 unless an authoritative replacement is chosen.","agreed: exclude; no future URL","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","Практическая работа №6","документ","pdf-query;canonical","found","old/new-stack/site/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6.html","","/обучение/кип/практические-работы/практическая-работа-6","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/abiturientu/dokumentatsiya","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/dokumentatsiya","Документация","документ","pdf-query;canonical","found","old/new-stack/site/abiturientu/dokumentatsiya.html","documents","/абитуриент/документы","discussion","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","08.01.07 Мастер общестроительных работ","статья","canonical;pdf-query;index.php","found","old/new-stack/site/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot.html","legacy: not in future target","/абитуриент/профессии/мастер-общестроительных-работ","discussion","Draft Cyrillic candidate only; professional code removed. Page is outside future target IA; decide retain, archive, redirect or replace.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","Практическая работа №7","документ","canonical;pdf-query","found","old/new-stack/site/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7.html","","/обучение/кип/практические-работы/практическая-работа-7","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/obuchenie","https://xn--80aabgi1b2am.xn--p1ai/obuchenie","Обучение","раздел","index.php;canonical","found","old/new-stack/site/obuchenie/index.html","","/обучение","preserve","Draft exact Cyrillic URL; educational identifiers are preserved where useful; create 301 from the current canonical URL after approval.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
"/abiturientu/professii/prodavets-kontroler-kassir","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/prodavets-kontroler-kassir","38.01.02 Продавец, контролер-кассир","статья","canonical;pdf-query;index.php","found","old/new-stack/site/abiturientu/professii/prodavets-kontroler-kassir.html","legacy: not in future target","/абитуриент/профессии/продавец-контролер-кассир","discussion","Draft Cyrillic candidate only; professional code removed. Page is outside future target IA; decide retain, archive, redirect or replace.","draft: Cyrillic URL; professional and specialty codes removed","future site: all path segments in lowercase Cyrillic, hyphen-separated, without numeric codes; legacy URLs redirect with 301"
